Points:0;Points:1;Points:2;Young Modulus
-35;-10;10;282408
-35;-20;25;486720
-35;-20;30;522037
-35;-20;35;526515
-35;-35;50;444255
-35;-40;50;295049
-35;-80;40;403256
-40;-85;40;490218
-35;-80;35;491038
-35;-85;35;465350
-35;-30;55;469117
-45;-90;20;476422
-45;-90;15;538020
-35;-20;10;413516
-35;-25;5;513365
-35;-5;30;562944
-35;-5;25;563433
-35;-10;25;543360
-30;-5;5;256349
-35;-5;10;232499
-30;-5;10;379459
-30;-5;15;561071
-35;-30;25;344185
-35;-35;25;258408
-35;-25;60;402055
-35;-30;60;452866
-35;-30;35;439900
-35;-35;35;316035
-30;-25;40;300782
-25;-20;40;300782
-35;-30;10;319687
-35;-10;5;267699
-25;-10;30;505242
-25;-5;30;505778
-20;-5;30;370141
-25;-5;5;431520
-30;-10;10;398202
-25;-5;10;357295
-35;-20;5;257551
-30;-15;5;257551
-30;-75;80;346701
-25;-70;80;465970
-30;-75;85;343110
-25;-75;80;474507
-30;-10;35;513953
-30;-10;30;536781
-30;-15;30;522037
-30;-5;45;410571
-20;-35;35;131237
-20;-30;40;190494
-25;-35;40;171834
-20;-35;40;154706
-45;-25;5;431520
-35;-25;35;483458
-35;-25;25;442623
-30;-15;55;381945
-30;-10;60;287054
-30;-15;60;421700
-40;-35;60;323689
-35;-35;55;450976
-40;-75;30;293197
-35;-70;30;224245
-40;-75;35;409975
-35;-75;30;395867
-25;-30;75;572550
-25;-25;80;566531
-25;-30;80;481070
-35;-30;50;418089
-30;-10;15;514689
-25;-70;55;464090
-30;-75;60;371911
-25;-75;55;521458
-40;-85;50;252392
-40;-80;55;436179
-45;-85;55;350517
-40;-85;55;343363
-40;-80;25;348871
-45;-80;30;288832
-40;-80;30;385251
-30;-20;20;487891
-35;-30;5;417356
-35;-5;55;235233
-30;-5;50;409272
-45;-85;25;352076
-25;-5;45;434337
-30;-75;45;267740
-25;-70;40;131270
-30;-70;45;351032
-25;-70;45;422214
-30;-25;75;590950
-30;-20;80;349906
-35;-25;80;197504
-30;-5;20;596549
-35;-70;45;277705
-35;-75;45;268908
-35;-70;50;368018
-35;-75;50;341337
-30;-10;5;409578
-45;-80;60;208574
-45;-75;60;250818
-45;-45;45;153791
-35;-5;50;290336
-35;-80;65;246423
-35;-75;70;320625
-30;-75;65;309323
-40;-70;35;168157
-40;-70;55;213988
-40;-70;60;148817
-40;-70;65;106882
-35;-30;45;317841
-35;-30;85;198611
-45;-75;35;347651
-30;-40;75;421471
-25;-35;75;502821
-30;-40;80;331339
-25;-40;75;351632
-40;-70;30;124959
-45;-80;35;440881
-35;-40;30;112313
-35;-40;35;102189
-25;-10;35;469057
-45;-80;40;416393
-45;-80;45;510010
-45;-80;50;347823
-45;-80;55;342540
-30;-25;10;294959
-30;-25;15;402474
-35;-70;35;209942
-35;-75;35;332350
-25;-20;5;242184
-25;-15;5;513365
-25;-15;10;418657
-20;-15;5;417356
-35;-30;65;424694
-35;-30;70;497477
-30;-25;70;587133
-35;-30;75;485600
-30;-30;70;581449
-40;-85;45;405493
-40;-80;50;297626
-45;-85;50;291502
-40;-35;65;305789
-40;-35;70;216822
-40;-40;60;197244
-35;-40;55;348525
-30;-10;50;329587
-45;-90;10;526826
-45;-90;5;299699
-45;-85;10;408433
-40;-85;5;398418
-35;-70;25;132880
-35;-75;25;257011
-40;-80;40;460913
-45;-85;40;470062
-40;-70;70;142922
-35;-70;70;341480
